Entity,Births_Combined,Deaths_Combined,Population in thousands,Urban Population (%),Dependency Ratio (%),region,Background
Australia,27169706,15330176,2020272.961,85.3189888118812,55.273742574257426,Oceania,"Aboriginal Australians arrived on the continent at least 60,000 years ago and developed complex hunter-gatherer societies and oral histories. Dutch navigators led by Abel TASMAN were the first Europeans to land in Australia in 1606, and they mapped the western and northern coasts. They named the continent New Holland but made no attempts to permanently settle it. In 1770, Englishman James COOK sailed to the east coast of Australia, named it New South Wales, and claimed it for Great Britain. In 1788 and 1825 respectively, Great Britain established New South Wales and then Tasmania as penal colonies. Great Britain and Ireland sent more than 150,000 convicts to Australia before ending the practice in 1868. As Europeans began settling areas away from the coasts, they came into more direct contact with Aboriginal Australians. Europeans also cleared land for agriculture, impacting Aboriginal Australians’ ways of life. These issues, along with disease and a policy in the 1900s that forcefully removed Aboriginal children from their parents, reduced the Aboriginal Australian population from more than 700,000 pre-European contact to a low of 74,000 in 1933.Four additional colonies were established in Australia in the mid-1800s: Western Australia (1829), South Australia (1836), Victoria (1851), and Queensland (1859). Gold rushes beginning in the 1850s brought thousands of new immigrants to New South Wales and Victoria, helping to reorient Australia away from its penal colony roots. In the second half of the 1800s, the colonies were all gradually granted self-government, and in 1901, they federated and became the Commonwealth of Australia. Australia contributed more than 400,000 troops to Allied efforts during World War I, and Australian troops played a large role in the defeat of Japanese troops in the Pacific in World War II. Australia severed most constitutional links with the UK in 1942 but remained part of the British Commonwealth. Australia’s post-war economy boomed and by the 1970s, racial policies that prevented most non-Whites from immigrating to Australia were removed, greatly increasing Asian immigration to the country. In recent decades, Australia has become an internationally competitive, advanced market economy due in large part to economic reforms adopted in the 1980s and its proximity to East and Southeast Asia.  In the early 2000s, Australian politics became unstable with frequent attempts to oust party leaders, including five changes of prime minister between 2010 and 2018. As a result, both major parties instituted rules to make it harder to remove a party leader."
Austria,8954302,9103642,819532.204,62.99946138613861,55.907584158415844,Europe,"Once the center of power for the large Austro-Hungarian Empire, Austria was reduced to a small republic after its defeat in World War I. Nazi Germany annexed Austria in 1938, and the victorious Allies then occupied the country in 1945. As a result, Austria's status remained unclear for a decade after World War II, until a State Treaty signed in 1955 ended the occupation, recognized Austria's independence, and forbade unification with Germany. A constitutional law that same year declared the country's ""perpetual neutrality"" as a condition for Soviet military withdrawal. Austria joined the EU in 1995, but the obligation to remain neutral kept it from joining NATO, although the country became a member of NATO's Partnership for Peace program in 1995. Austria entered the EU Economic and Monetary Union in 1999."
Bahamas,492132,250113,30608.286,76.82726900990099,58.88314851485149,Americas,"Lucayan Indians inhabited the Bahama islands when Christopher COLUMBUS first set foot in the New World in 1492. British settlement of the islands began in 1647; the islands became a colony in 1783. Piracy thrived in the 17th and 18th centuries because of The Bahamas' close proximity to shipping lanes. Since gaining independence from the UK in 1973, The Bahamas has prospered through tourism, international banking, and investment management, which comprise up to 85% of GDP. Because of its proximity to the US -- the nearest Bahamian landmass is only 80 km (50 mi) from Florida -- the country is a major transshipment point for illicit trafficking to the US mainland, as well as to Europe. US law enforcement agencies cooperate closely with The Bahamas; the Drug Enforcement Administration, US Coast Guard, and US Customs and Border Protection assist Bahamian authorities with maritime security and law enforcement through Operation Bahamas, Turks and Caicos, or OPBAT."
Bahrain,1545984,296920,89509.276,86.9146695049505,52.86600990099009,Asia,"In 1783, the Sunni AL-KHALIFA family took power in Bahrain. In order to secure these holdings, it entered into a series of treaties with the UK during the 19th century that made Bahrain a British protectorate. The archipelago attained its independence in 1971. A steady decline in oil production and reserves since 1970 prompted Bahrain to take steps to diversify its economy, in the process developing petroleum processing and refining, aluminum production, and hospitality and retail sectors. It has also endeavored to become a leading regional banking center, especially with respect to Islamic finance. Bahrain's small size, central location among Gulf countries, economic dependence on Saudi Arabia, and proximity to Iran require it to play a delicate balancing act in foreign affairs among its larger neighbors. Its foreign policy activities usually fall in line with Saudi Arabia and the UAE. In 2022, the United States designated Bahrain as a major non-NATO ally. The Sunni royal family has long struggled to manage relations with its Shia-majority population. In 2011, amid Arab uprisings elsewhere in the region, the Bahraini Government responded to similar pro-democracy and reform protests at home with police and military action, including deploying Gulf Cooperation Council security forces. Ongoing dissatisfaction with the political status quo continues to factor into sporadic clashes between demonstrators and security forces. In 2020, Bahrain and the United Arab Emirates signed the US-brokered Abraham Accords with Israel. In 2023, Bahrain and the United States signed the Comprehensive Security Integration and Prosperity Agreement to enhance cooperation across a wide range of areas, from defense and security to emerging technology, trade, and investment.    "
Bangladesh,330329045,116269473,12694653.339,26.835478415841582,69.10364356435643,Asia,"The huge delta region at the confluence of the Ganges and Brahmaputra River systems -- now referred to as Bangladesh -- was a loosely incorporated outpost of various empires for much of the first millennium A.D. Muslim conversions and settlement in the region began in the 10th century, primarily from Arab and Persian traders and preachers. Europeans established trading posts in the area in the 16th century. Eventually the area known as Bengal, which is primarily Hindu in the western section and mostly Muslim in the eastern half, became part of British India. After the partition of India in 1947, the Muslim-majority area became East Pakistan. Calls for greater autonomy and animosity between the eastern and western areas of Pakistan led to a Bengali independence movement. That movement, led by the Awami League (AL) and supported by India, won the independence war for Bangladesh in 1971. The military overthrew the post-independence AL government in 1975, the first of a series of military coups that resulted in a military-backed government and the subsequent creation of the Bangladesh Nationalist Party (BNP) that took power in 1979. That government also ended in a coup in 1981, followed by military-backed rule until democratic elections were held in 1991. The BNP and AL alternated in power from 1991 to 2008, with the exception of a military-backed, emergency caretaker regime in 2007. The country returned to fully democratic rule in 2008 with the election of the AL and Prime Minister Sheikh HASINA. With the help of international development assistance, Bangladesh is on track to graduate from the UN’s Least Developed Countries (LDC) list in 2026. The economy has grown at an annual average of about 6.25% for the last two decades. Poverty declined from 11.8 percent in 2010 to 5.0 percent in 2022, based on the international poverty line of $2.15 a day (using 2017 Purchasing Power Parity exchange rate). Moreover, human development outcomes improved along many dimensions.  The country made a rapid recovery from the COVID-19 pandemic, but faces several economic challenges.  "
Barbados,436433,255534,26380.577,35.617067722772276,60.93667326732673,Americas,"Barbados was uninhabited when first settled by the British in 1627. Enslaved Africans worked the sugar plantations established on the island, which initially dominated the Caribbean sugar industry. By 1720, Barbados was no longer a dominant force within the sugar industry, having been surpassed by the Leeward Islands and Jamaica. Slavery was abolished in 1834. The Barbadian economy remained heavily dependent on sugar, rum, and molasses production through most of the 20th century. The gradual introduction of social and political reforms in the 1940s and 1950s led to independence from the UK in 1966. In the 1990s, tourism and manufacturing surpassed the sugar industry in economic importance. Barbados became a republic in 2021, with the former Governor-General Sandra MASON elected as the first president."
Belgium,12329194,11543837,1065896.973,96.30806504950495,56.50709900990098,Europe,"Belgium became independent from the Netherlands in 1830; it was occupied by Germany during World Wars I and II. The country prospered as a modern, technologically advanced European state and member of NATO and the EU. In recent years, longstanding tensions between the Dutch-speaking Flemish of the north and the French-speaking Walloons of the south have led to constitutional amendments granting these regions formal recognition and autonomy. The capital city of Brussels is home to numerous international organizations, including the EU and NATO."
Belize,621240,177813,27775.62,49.62680287128713,75.22924752475248,Americas,"Belize was the site of several Mayan city states until their decline at the end of the first millennium A.D. The British and Spanish disputed the region in the 17th and 18th centuries; it formally became the colony of British Honduras in 1862. Territorial disputes between the UK and Guatemala delayed the independence of Belize until 1981. Guatemala refused to recognize the new nation until 1992, and the two countries are still involved in an ongoing border dispute. Tourism has become the mainstay of the economy. Current concerns include the country's heavy foreign debt burden, high crime rates, high unemployment combined with a majority youth population, growing involvement in the Mexican and South American drug trade, and one of the highest HIV/AIDS prevalence rates in Central America."
Benin,33230715,10510769,953818.476,36.631937920792076,84.9168712871287,Africa,"Present-day Benin is comprised of about 42 ethnic groups, including the Yoruba in the southeast, who migrated from what is now Nigeria in the 12th century; the Dendi in the north-central area, who came from Mali in the 16th century; the Bariba and the Fula in the northeast; the Ottamari in the Atakora mountains; the Fon in the area around Abomey in the south-central area; and the Mina, Xueda, and Aja, who came from Togo, on the coast. The Kingdom of Dahomey emerged on the Abomey plateau in the 17th century and was a regional power for much of the 18th and 19th centuries. The growth of Dahomey coincided with the growth of the Atlantic slave trade, and it became known as a major source of enslaved people. France began to control the coastal areas of Dahomey in the second half of the 19th century; the entire kingdom was conquered by 1894. French Dahomey achieved independence in 1960, and it changed its name to the Republic of Benin in 1975.A succession of military governments ended in 1972 with the rise to power of Mathieu KEREKOU and a Marxist-Leninist government. A move to representative government began in 1989. Two years later, free elections ushered in former Prime Minister Nicephore SOGLO as president, marking the first successful transfer of power in Africa from a dictatorship to a democracy. KEREKOU returned to power after elections in 1996 and 2001. He stepped down in 2006 and was succeeded by Thomas YAYI Boni, a political outsider and independent, who won a second term in 2011. Patrice TALON, a wealthy businessman, took office in 2016; the space for pluralism, dissent, and free expression has narrowed under his administration. TALON won a second term in 2021."
Bermuda,73590,51788,5687.568,100.0,56.04672277227723,Americas,"Bermuda was first settled in 1609 by shipwrecked English colonists heading for Virginia. Self-governing since 1620, Bermuda is the oldest and most populous of the British Overseas Territories. Vacationing on the island to escape North American winters first developed in Victorian times. Tourism continues to be important for the island's economy, although international business has overtaken it in recent years as Bermuda has developed into a highly successful offshore financial center. A referendum on independence from the UK was soundly defeated in 1995."
Bhutan,1328625,587108,57995.028,27.074780594059405,61.30169306930693,Asia,"After Britain’s victory in the 1865 Duar War, Britain and Bhutan signed the Treaty of Sinchulu, under which Bhutan would receive an annual subsidy in exchange for ceding land to British India. Ugyen WANGCHUCK -- who had served as the de facto ruler of an increasingly unified Bhutan and had improved relations with the British toward the end of the 19th century -- was named king in 1907. Three years later, a treaty was signed whereby the British agreed not to interfere in Bhutanese internal affairs, and Bhutan allowed Britain to direct its foreign affairs. Bhutan negotiated a similar arrangement with independent India in 1949. The Indo-Bhutanese Treaty of Friendship returned to Bhutan a small piece of the territory annexed by the British, formalized the annual subsidies the country received, and defined India's responsibilities in defense and foreign relations. Under a succession of modernizing monarchs beginning in the 1950s, Bhutan joined the UN in 1971 and slowly continued its engagement beyond its borders. In 2005, King Jigme Singye WANGCHUCK unveiled the draft of Bhutan's first constitution -- which introduced major democratic reforms -- and held a national referendum for its approval. The King abdicated the throne in 2006 in favor of his son, Jigme Khesar Namgyel WANGCHUCK. In 2007, India and Bhutan renegotiated their treaty, eliminating the clause that stated that Bhutan would be ""guided by"" India in conducting its foreign policy, although Thimphu continues to coordinate closely with New Delhi. In 2008, Bhutan held its first parliamentary election in accordance with the constitution. Bhutan experienced a peaceful turnover of power following a parliamentary election in 2013, which resulted in the defeat of the incumbent party. In 2018, the incumbent party again lost the parliamentary election. In 2024, of the more than 100,000 ethnic Nepali -- predominantly Lhotshampa -- refugees who fled or were forced out of Bhutan in the 1990s, about 6,500 remain displaced in Nepal."
Bolivia,23454981,9382895,915032.772,58.38896455445545,69.44662376237625,Americas,"Bolivia, named after independence fighter Simón BOLÍVAR, broke away from Spanish rule in 1825. Much of its subsequent history has consisted of a series of coups and countercoups, with the last coup occurring in 1980. Democratic civilian rule was established in 1982, but leaders have faced problems of deep-seated poverty, social unrest, and illegal drug production. In 2005, Bolivians elected Movement Toward Socialism leader Evo MORALES as president -- by the widest margin of any leader since 1982 -- after he ran on a promise to change the country's traditional political class and empower the poor and indigenous majority. In 2009 and 2014, MORALES easily won reelection, and his party maintained control of the legislative branch. In 2016, MORALES narrowly lost a referendum to approve a constitutional amendment that would have allowed him to compete in the 2019 presidential election. A subsequent Supreme Court ruling stating that term limits violate human rights provided the justification for MORALES to run despite the referendum, but rising violence, pressure from the military, and widespread allegations of electoral fraud ultimately forced him to flee the country. An interim government, led by President Jeanine AÑEZ Chávez, held new elections in 2020, and Luis Alberto ARCE Catacora was elected president."
Botswana,4565581,1447773,183112.974,45.479044455445546,76.27243564356435,Africa,"In the early 1800s, multiple political entities in what is now Botswana were destabilized or destroyed by a series of conflicts and population movements in southern Africa. By the end of this period, the Tswana ethnic group, who also live across the border in South Africa, had become the most prominent group in the area. In 1852, Tswana forces halted the expansion of white Afrikaner settlers who were seeking to expand their territory northwards into what is now Botswana. In 1885, Great Britain claimed territory that roughly corresponds with modern day Botswana as a protectorate called Bechuanaland. Upon independence in 1966, the British protectorate of Bechuanaland adopted the new name of Botswana, which means ""land of the Tswana."" More than five decades of uninterrupted civilian leadership, progressive social policies, and significant capital investment have created an enduring democracy and upper-middle-income economy. The ruling Botswana Democratic Party has won every national election since independence; President Mokgweetsi Eric Keabetswe MASISI assumed the presidency in 2018 after the retirement of former President Ian KHAMA due to constitutional term limits. MASISI won his first election as president in 2019, and he is Botswana’s fifth president since independence. Mineral extraction, principally diamond mining, dominates economic activity, though tourism is a growing sector due to the country's conservation practices and extensive nature preserves. Botswana has one of the world's highest rates of HIV/AIDS infection but also one of Africa's most progressive and comprehensive programs for dealing with the disease.    "
Brazil,304844665,132963894,16396481.606,73.80317386138614,62.0769702970297,Americas,"After more than three centuries under Portuguese rule, Brazil gained its independence in 1822, maintaining a monarchical system of government until the abolition of slavery in 1888 and the subsequent proclamation of a republic by the military in 1889. Brazilian coffee exporters politically dominated the country until populist leader Getúlio VARGAS rose to power in 1930. VARGAS governed through various versions of democratic and authoritarian regimes from 1930 to 1945. Democratic rule returned in 1945 -- including a democratically elected VARGAS administration from 1951 to 1954 -- and lasted until 1964, when the military overthrew President João GOULART. The military regime censored journalists and repressed and tortured dissidents in the late 1960s and early 1970s. The dictatorship lasted until 1985, when the military regime peacefully ceded power to civilian rulers, and the Brazilian Congress passed its current constitution in 1988. By far the largest and most populous country in South America, Brazil continues to pursue industrial and agricultural growth and development of its interior. Having successfully weathered a period of global financial difficulty in the late 20th century, Brazil was soon seen as one of the world's strongest emerging markets and a contributor to global growth under President Luiz Inácio LULA da Silva (2003-2010). The awarding of the 2014 FIFA World Cup and 2016 Summer Olympic Games -- the first ever to be held in South America -- to Brazil was symbolic of the country's rise. However, from about 2013 to 2016, Brazil was plagued by a sagging economy, high unemployment, and high inflation, only emerging from recession in 2017. Congress removed then-President Dilma ROUSSEFF (2011-2016) from office in 2016 for having committed impeachable acts against Brazil's budgetary laws, and her vice president, Michel TEMER, served the remainder of her second term. A money-laundering investigation, Operation Lava Jato, uncovered a vast corruption scheme and prosecutors charged several high-profile Brazilian politicians with crimes. Former President LULA was convicted of accepting bribes and served jail time (2018-19), although his conviction was overturned in 2021. LULA's revival became complete in 2022 when he narrowly defeated incumbent Jair BOLSONARO (2019-2022) in the presidential election. Positioning Brazil as an independent global leader on climate change and promoting sustainable development, LULA took on the 2024 G20 presidency, balancing the fight against deforestation with sustainable energy and other projects designed to alleviate poverty and promote economic growth, such as expanding fossil fuel exploration. "
British Virgin Islands,28665,16644,2126.924,37.04568237623762,60.307475247524756,Americas,"First inhabited by Arawak and later by Carib Indians, the Virgin Islands were settled by the Dutch in 1648 and then annexed by the English in 1672. The islands were part of the British colony of the Leeward Islands (1872-1960); they were granted autonomy in 1967. The economy is closely tied to the larger and more populous US Virgin Islands to the west, and the US dollar is the legal currency. In 2017, Hurricane Irma devastated the island of Tortola. An estimated 80% of residential and business structures were destroyed or damaged, communications disrupted, and local roads rendered impassable."
Brunei,563373,187051,31090.484,68.10602128712871,61.13331683168317,Asia,"The Sultanate of Brunei's influence peaked between the 15th and 17th centuries, when its control extended over coastal areas of northwest Borneo and the southern Philippines. Internal strife over royal succession, colonial expansion of European powers, and piracy subsequently brought on a period of decline. In 1888, Brunei became a British protectorate; independence was achieved in 1984. The same family has ruled Brunei for over six centuries, and in 2017, the country celebrated the 50th anniversary of Sultan Hassanal BOLKIAH’s accession to the throne. Brunei has one of the highest per-capita GDPs in the world, thanks to extensive petroleum and natural gas fields."
